date,temperature,humidity,visibility,apparentTemperature,pressure,windSpeed,windBearing,dewPoint,OT
2016-01-01 00:00:00,36.0,0.63,10.0,29.75,1016.61,7.94,278,24.54,25.323583602905273
2016-01-01 01:00:00,35.73,0.62,10.0,29.39,1015.99,8.01,281,24.15,38.64430618286133
2016-01-01 02:00:00,35.35,0.62,10.0,29.21,1015.83,7.52,276,23.8,49.79756164550781
2016-01-01 03:00:00,35.19,0.63,10.0,30.21,1015.82,5.76,268,23.93,58.81275939941406
2016-01-01 04:00:00,35.33,0.63,10.0,29.4,1015.6,7.18,266,24.11,62.34440612792969
2016-01-01 05:00:00,35.04,0.64,10.0,29.83,1015.36,6.02,263,24.12,59.12413787841797
2016-01-01 06:00:00,34.69,0.65,10.0,29.11,1015.34,6.45,260,24.24,55.2902717590332
2016-01-01 07:00:00,34.72,0.65,10.0,29.82,1015.5,5.55,258,24.17,65.41167449951172
2016-01-01 08:00:00,34.75,0.66,10.0,29.46,1015.42,6.05,256,24.56,61.44886779785156
2016-01-01 09:00:00,35.46,0.64,10.0,30.36,1015.55,5.99,255,24.61,65.82681274414062
2016-01-01 10:00:00,36.45,0.62,10.0,31.29,1015.52,6.34,248,24.66,66.65338134765625
2016-01-01 11:00:00,36.66,0.62,10.0,30.58,1014.95,7.9,245,24.75,80.34838104248047
2016-01-01 12:00:00,37.07,0.58,10.0,29.98,1014.05,10.05,273,23.82,87.75318908691406
2016-01-01 13:00:00,36.94,0.58,10.0,30.25,1013.27,9.17,278,23.59,98.32569122314453
2016-01-01 14:00:00,36.98,0.58,10.0,31.33,1012.66,7.28,270,23.64,105.210693359375
2016-01-01 15:00:00,36.41,0.6,9.24,30.83,1012.35,6.98,261,23.76,93.98780059814453
2016-01-01 16:00:00,35.65,0.62,9.85,29.34,1012.32,7.93,252,23.94,90.12509155273438
2016-01-01 17:00:00,34.56,0.68,8.7,28.32,1012.45,7.4,248,25.11,103.9459228515625
2016-01-01 18:00:00,33.61,0.71,8.9,27.37,1012.76,7.1,261,25.17,99.0040054321289
2016-01-01 19:00:00,32.77,0.72,8.21,25.43,1013.35,8.61,273,24.68,102.01811981201172
2016-01-01 20:00:00,32.25,0.69,9.9,25.0,1013.47,8.25,276,23.09,98.28557586669922
2016-01-01 21:00:00,31.3,0.63,10.0,23.82,1013.6,8.28,273,20.21,93.02546691894531
2016-01-01 22:00:00,30.61,0.61,10.0,22.93,1013.55,8.36,268,18.76,92.12036895751953
2016-01-01 23:00:00,30.04,0.6,10.0,22.06,1013.74,8.65,271,17.93,78.84467315673828
2016-01-02 00:00:00,29.6,0.61,10.0,22.02,1013.91,7.85,277,17.66,89.00320434570312
2016-01-02 01:00:00,29.38,0.6,10.0,21.52,1013.97,8.21,272,17.38,81.16718292236328
2016-01-02 02:00:00,28.53,0.63,10.0,20.56,1014.04,8.1,269,17.58,74.41311645507812
2016-01-02 03:00:00,29.15,0.63,9.89,21.55,1014.13,7.74,267,17.98,71.44396209716797
2016-01-02 04:00:00,29.14,0.64,10.0,22.27,1013.91,6.71,253,18.41,80.40707397460938
2016-01-02 05:00:00,28.96,0.66,10.0,21.51,1014.08,7.46,249,18.87,80.2997055053711
2016-01-02 06:00:00,28.94,0.65,9.95,22.04,1014.47,6.69,251,18.81,78.55779266357422
2016-01-02 07:00:00,28.71,0.65,10.0,21.65,1014.91,6.84,245,18.4,86.24146270751953
2016-01-02 08:00:00,28.67,0.64,10.0,20.64,1015.26,8.23,253,17.89,85.87151336669922
2016-01-02 09:00:00,30.68,0.58,10.0,23.07,1015.7,8.26,253,17.63,80.54315185546875
2016-01-02 10:00:00,32.12,0.54,10.0,23.92,1016.0,9.91,264,17.5,82.7987289428711
2016-01-02 11:00:00,33.41,0.51,10.0,25.29,1015.61,10.38,269,17.38,75.74671936035156
2016-01-02 12:00:00,34.84,0.49,10.0,26.99,1014.57,10.55,277,17.46,86.01244354248047
2016-01-02 13:00:00,35.26,0.48,10.0,27.02,1014.1,11.68,271,17.42,73.79737091064453
2016-01-02 14:00:00,35.75,0.47,10.0,28.39,1013.51,9.97,277,17.46,65.18965148925781
2016-01-02 15:00:00,34.72,0.5,10.0,26.5,1013.55,11.31,281,18.03,86.11882019042969
2016-01-02 16:00:00,34.04,0.52,10.0,26.9,1013.89,8.75,276,18.27,100.95536041259766
2016-01-02 17:00:00,33.21,0.55,10.0,26.99,1013.93,6.94,265,18.84,111.0843276977539
2016-01-02 18:00:00,32.8,0.57,10.0,26.77,1013.87,6.56,250,19.31,111.68809509277344
2016-01-02 19:00:00,32.65,0.58,10.0,26.61,1014.17,6.53,247,19.35,111.66987609863281
2016-01-02 20:00:00,32.49,0.59,10.0,26.58,1014.05,6.3,232,19.7,108.77972412109375
2016-01-02 21:00:00,32.72,0.58,10.0,26.34,1013.7,7.04,223,19.58,116.32484436035156
2016-01-02 22:00:00,32.66,0.59,10.0,26.48,1012.82,6.73,221,19.78,119.38923645019531
2016-01-02 23:00:00,32.1,0.6,10.0,25.66,1012.31,6.94,219,19.68,99.83978271484375
2016-01-03 00:00:00,31.7,0.61,10.0,25.63,1011.85,6.31,219,19.92,82.41929626464844
2016-01-03 01:00:00,31.09,0.63,10.0,24.24,1011.42,7.23,216,19.96,69.68236541748047
2016-01-03 02:00:00,30.53,0.64,10.0,23.53,1010.85,7.28,206,19.69,62.893192291259766
2016-01-03 03:00:00,29.71,0.65,10.0,22.83,1010.27,6.87,196,19.47,62.64372253417969
2016-01-03 04:00:00,29.21,0.66,10.0,22.51,1009.32,6.5,203,19.24,75.9363021850586
2016-01-03 05:00:00,28.66,0.68,10.0,21.35,1008.98,7.16,202,19.39,71.36478424072266
2016-01-03 06:00:00,27.46,0.72,10.0,19.96,1008.62,7.08,200,19.54,78.8924331665039
2016-01-03 07:00:00,27.24,0.73,10.0,20.42,1008.43,6.17,202,19.7,75.73231506347656
2016-01-03 08:00:00,28.19,0.73,10.0,21.03,1008.7,6.83,211,20.7,75.86148834228516
2016-01-03 09:00:00,30.95,0.68,10.0,23.62,1008.99,7.93,217,21.56,71.72260284423828
2016-01-03 10:00:00,34.09,0.61,10.0,26.93,1008.8,8.82,216,22.22,90.28958892822266
2016-01-03 11:00:00,36.67,0.55,10.0,30.15,1008.29,8.7,232,22.23,96.90861511230469
2016-01-03 12:00:00,37.64,0.54,10.0,30.89,1007.41,9.63,242,22.48,98.30084991455078
2016-01-03 13:00:00,39.0,0.51,10.0,31.53,1006.86,12.17,247,22.49,109.91035461425781
2016-01-03 14:00:00,39.5,0.5,10.0,32.36,1006.79,11.62,252,22.62,95.69429016113281
2016-01-03 15:00:00,39.16,0.51,10.0,32.97,1007.13,9.18,261,22.67,83.84949493408203
