date,dew_point,OT
2011-01-01 00:00:00,29,12214.0
2011-01-01 01:00:00,29,11984.873046875
2011-01-01 02:00:00,29,11755.2548828125
2011-01-01 03:00:00,30,11568.736328125
2011-01-01 04:00:00,31,11440.173828125
2011-01-01 05:00:00,31,11375.69140625
2011-01-01 06:00:00,32,11380.783203125
2011-01-01 07:00:00,31,11423.6494140625
2011-01-01 08:00:00,32,11528.599609375
2011-01-01 09:00:00,34,11674.5908203125
2011-01-01 10:00:00,35,11838.2333984375
2011-01-01 11:00:00,37,11990.140625
2011-01-01 12:00:00,38,12119.0
2011-01-01 13:00:00,39,12217.65625
2011-01-01 14:00:00,39,12294.1904296875
2011-01-01 15:00:00,38,12374.4052734375
2011-01-01 16:00:00,37,12522.2626953125
2011-01-01 17:00:00,37,12713.6484375
2011-01-01 18:00:00,37,12878.5546875
2011-01-01 19:00:00,36,13006.1474609375
2011-01-01 20:00:00,37,13096.7236328125
2011-01-01 21:00:00,38,13145.3251953125
2011-01-01 22:00:00,38,13144.890625
2011-01-01 23:00:00,40,13095.787109375
2011-01-02 00:00:00,41,13010.7451171875
2011-01-02 01:00:00,41,12906.4677734375
2011-01-02 02:00:00,41,12796.2001953125
2011-01-02 03:00:00,41,12688.8154296875
2011-01-02 04:00:00,42,12590.333984375
2011-01-02 05:00:00,42,12508.1298828125
2011-01-02 06:00:00,42,12450.638671875
2011-01-02 07:00:00,42,12419.9501953125
2011-01-02 08:00:00,41,12424.236328125
2011-01-02 09:00:00,42,12461.435546875
2011-01-02 10:00:00,43,12515.9873046875
2011-01-02 11:00:00,43,12577.662109375
2011-01-02 12:00:00,43,12640.484375
2011-01-02 13:00:00,43,12697.83203125
2011-01-02 14:00:00,42,12748.9658203125
2011-01-02 15:00:00,42,12802.744140625
2011-01-02 16:00:00,39,12894.9794921875
2011-01-02 17:00:00,38,13017.525390625
2011-01-02 18:00:00,35,13130.3173828125
2011-01-02 19:00:00,33,13224.7939453125
2011-01-02 20:00:00,31,13296.3955078125
2011-01-02 21:00:00,28,13334.8994140625
2011-01-02 22:00:00,26,13336.4189453125
2011-01-02 23:00:00,23,13304.998046875
2011-01-03 00:00:00,21,13255.01953125
2011-01-03 01:00:00,19,13195.947265625
2011-01-03 02:00:00,17,13136.072265625
2011-01-03 03:00:00,16,13081.48828125
2011-01-03 04:00:00,15,13040.5078125
2011-01-03 05:00:00,15,13034.8935546875
2011-01-03 06:00:00,13,13087.80078125
2011-01-03 07:00:00,12,13172.490234375
2011-01-03 08:00:00,12,13260.34765625
2011-01-03 09:00:00,11,13349.705078125
2011-01-03 10:00:00,11,13439.6533203125
2011-01-03 11:00:00,10,13527.03515625
2011-01-03 12:00:00,10,13607.6591796875
2011-01-03 13:00:00,10,13681.8671875
2011-01-03 14:00:00,10,13749.794921875
2011-01-03 15:00:00,9,13820.041015625
2011-01-03 16:00:00,10,13921.6123046875
2011-01-03 17:00:00,10,14060.0126953125
2011-01-03 18:00:00,11,14191.3623046875
2011-01-03 19:00:00,11,14306.40625
2011-01-03 20:00:00,11,14399.9169921875
2011-01-03 21:00:00,12,14459.146484375
2011-01-03 22:00:00,12,14476.453125
2011-01-03 23:00:00,12,14456.73046875
2011-01-04 00:00:00,12,14414.5615234375
2011-01-04 01:00:00,12,14362.94140625
2011-01-04 02:00:00,12,14308.58984375
2011-01-04 03:00:00,12,14256.4052734375
2011-01-04 04:00:00,13,14215.8388671875
2011-01-04 05:00:00,12,14206.3408203125
2011-01-04 06:00:00,12,14251.0595703125
2011-01-04 07:00:00,13,14324.359375
2011-01-04 08:00:00,14,14397.8056640625
2011-01-04 09:00:00,15,14468.6201171875
2011-01-04 10:00:00,15,14537.3681640625
2011-01-04 11:00:00,15,14602.765625
2011-01-04 12:00:00,16,14660.9775390625
2011-01-04 13:00:00,16,14712.7685546875
2011-01-04 14:00:00,17,14756.5224609375
2011-01-04 15:00:00,16,14801.2412109375
2011-01-04 16:00:00,17,14872.9140625
2011-01-04 17:00:00,17,14977.9443359375
2011-01-04 18:00:00,18,15079.41015625
2011-01-04 19:00:00,18,15167.494140625
2011-01-04 20:00:00,18,15235.7216796875
2011-01-04 21:00:00,17,15272.142578125
2011-01-04 22:00:00,17,15267.318359375
2011-01-04 23:00:00,17,15227.62109375
2011-01-05 00:00:00,17,15168.16796875
2011-01-05 01:00:00,17,15098.2744140625
2011-01-05 02:00:00,16,15025.474609375
2011-01-05 03:00:00,16,14954.919921875
2011-01-05 04:00:00,16,14895.0234375
2011-01-05 05:00:00,17,14865.1416015625
2011-01-05 06:00:00,18,14889.30859375
2011-01-05 07:00:00,17,14942.033203125
2011-01-05 08:00:00,18,14994.8359375
2011-01-05 09:00:00,20,15043.9033203125
2011-01-05 10:00:00,21,15090.77734375
2011-01-05 11:00:00,20,15134.4453125
2011-01-05 12:00:00,19,15172.9990234375
2011-01-05 13:00:00,17,15209.408203125
2011-01-05 14:00:00,14,15240.767578125
2011-01-05 15:00:00,14,15273.375
2011-01-05 16:00:00,12,15334.6181640625
2011-01-05 17:00:00,11,15427.8427734375
2011-01-05 18:00:00,10,15517.1318359375
2011-01-05 19:00:00,10,15593.5966796875
2011-01-05 20:00:00,10,15652.375
2011-01-05 21:00:00,10,15681.083984375
2011-01-05 22:00:00,10,15671.974609375
2011-01-05 23:00:00,9,15628.5849609375
2011-01-06 00:00:00,9,15564.92578125
2011-01-06 01:00:00,9,15491.9736328125
2011-01-06 02:00:00,9,15417.349609375
2011-01-06 03:00:00,9,15345.6318359375
2011-01-06 04:00:00,10,15285.171875
2011-01-06 05:00:00,10,15256.251953125
2011-01-06 06:00:00,10,15282.505859375
2011-01-06 07:00:00,10,15338.447265625
2011-01-06 08:00:00,11,15393.5888671875
2011-01-06 09:00:00,13,15440.9189453125
2011-01-06 10:00:00,13,15488.134765625
2011-01-06 11:00:00,13,15531.97265625
2011-01-06 12:00:00,12,15568.853515625
2011-01-06 13:00:00,11,15601.6494140625
2011-01-06 14:00:00,11,15630.3876953125
2011-01-06 15:00:00,10,15658.857421875
2011-01-06 16:00:00,10,15713.6611328125
2011-01-06 17:00:00,10,15801.4892578125
2011-01-06 18:00:00,11,15887.408203125
