date,OT
2011-01-01 00:00:00,12214
2011-01-01 01:00:00,11573
2011-01-01 02:00:00,11114
2011-01-01 03:00:00,10863
2011-01-01 04:00:00,10827
2011-01-01 05:00:00,11005
2011-01-01 06:00:00,11415
2011-01-01 07:00:00,11753
2011-01-01 08:00:00,12435
2011-01-01 09:00:00,13073
2011-01-01 10:00:00,13558
2011-01-01 11:00:00,13726
2011-01-01 12:00:00,13708
2011-01-01 13:00:00,13522
2011-01-01 14:00:00,13373
2011-01-01 15:00:00,13574
2011-01-01 16:00:00,14858
2011-01-01 17:00:00,15895
2011-01-01 18:00:00,15753
2011-01-01 19:00:00,15331
2011-01-01 20:00:00,14817
2011-01-01 21:00:00,14105
2011-01-01 22:00:00,13136
2011-01-01 23:00:00,12055
2011-01-02 00:00:00,11149
2011-01-02 01:00:00,10553
2011-01-02 02:00:00,10235
2011-01-02 03:00:00,10126
2011-01-02 04:00:00,10179
2011-01-02 05:00:00,10446
2011-01-02 06:00:00,10975
2011-01-02 07:00:00,11615
2011-01-02 08:00:00,12539
2011-01-02 09:00:00,13477
2011-01-02 10:00:00,14033
2011-01-02 11:00:00,14323
2011-01-02 12:00:00,14448
2011-01-02 13:00:00,14374
2011-01-02 14:00:00,14266
2011-01-02 15:00:00,14421
2011-01-02 16:00:00,15708
2011-01-02 17:00:00,16803
2011-01-02 18:00:00,16657
2011-01-02 19:00:00,16213
2011-01-02 20:00:00,15586
2011-01-02 21:00:00,14579
2011-01-02 22:00:00,13386
2011-01-02 23:00:00,12270
2011-01-03 00:00:00,11594
2011-01-03 01:00:00,11216
2011-01-03 02:00:00,11113
2011-01-03 03:00:00,11223
2011-01-03 04:00:00,11635
2011-01-03 05:00:00,12841
2011-01-03 06:00:00,14927
2011-01-03 07:00:00,16135
2011-01-03 08:00:00,16352
2011-01-03 09:00:00,16512
2011-01-03 10:00:00,16640
2011-01-03 11:00:00,16652
2011-01-03 12:00:00,16505
2011-01-03 13:00:00,16361
2011-01-03 14:00:00,16213
2011-01-03 15:00:00,16378
2011-01-03 16:00:00,17635
2011-01-03 17:00:00,19139
2011-01-03 18:00:00,19029
2011-01-03 19:00:00,18558
2011-01-03 20:00:00,17867
2011-01-03 21:00:00,16662
2011-01-03 22:00:00,15122
2011-01-03 23:00:00,13719
2011-01-04 00:00:00,12833
2011-01-04 01:00:00,12422
2011-01-04 02:00:00,12260
2011-01-04 03:00:00,12285
2011-01-04 04:00:00,12680
2011-01-04 05:00:00,13846
2011-01-04 06:00:00,15951
